date,temperature,humidity,luminosity
2023-12-07 15:50:18.847,20.5,39.3,222
2023-12-07 15:50:17.843,20.5,39.3,223
2023-12-07 15:50:16.835,20.5,39.3,222
2023-12-07 15:50:15.832,20.5,39.3,222
2023-12-07 15:50:14.824,20.5,39.3,223
2023-12-07 15:50:13.820,20.5,39.3,223
2023-12-07 15:50:12.813,20.5,39.3,222
2023-12-07 15:50:11.809,20.5,39.3,222
2023-12-07 15:50:10.802,20.5,39.3,222
2023-12-07 15:50:09.798,20.5,39.3,222
2023-12-07 15:50:08.790,20.5,39.3,223
2023-12-07 15:50:07.787,20.5,39.3,222
2023-12-07 15:50:06.779,20.5,39.3,223
2023-12-07 15:50:05.779,20.5,39.3,223
2023-12-07 15:50:04.767,20.5,39.3,223
2023-12-07 15:50:03.768,20.5,39.3,225
2023-12-07 15:50:02.756,20.5,39.3,223
2023-12-07 15:50:01.756,20.5,39.3,223
2023-12-07 15:50:00.745,20.5,39.3,223
2023-12-07 15:49:59.745,20.5,39.3,223
2023-12-07 15:49:58.733,20.5,39.3,222
2023-12-07 15:49:57.734,20.5,39.3,222
2023-12-07 15:49:56.726,20.5,39.3,222
2023-12-07 15:49:55.723,20.5,39.3,223
2023-12-07 15:49:54.715,20.5,39.3,225
2023-12-07 15:49:53.711,20.5,39.3,223
2023-12-07 15:49:52.704,20.5,39.3,222
2023-12-07 15:49:51.700,20.5,39.3,223
2023-12-07 15:49:50.692,20.5,39.3,223
2023-12-07 15:49:49.689,20.5,39.3,222
2023-12-07 15:49:48.681,20.5,39.3,223
2023-12-07 15:49:47.678,20.5,39.3,223
2023-12-07 15:49:46.669,20.5,39.3,223
2023-12-07 15:49:45.666,20.5,39.3,223
2023-12-07 15:49:44.658,20.5,39.2,225
2023-12-07 15:49:43.655,20.5,39.2,223
2023-12-07 15:49:42.647,20.5,39.2,222
2023-12-07 15:49:41.644,20.5,39.2,222
2023-12-07 15:49:40.636,20.5,39.3,225
2023-12-07 15:49:39.632,20.5,39.3,225
2023-12-07 15:49:38.625,20.5,39.3,223
2023-12-07 15:49:37.620,20.5,39.3,223
2023-12-07 15:49:36.613,20.5,39.3,222
2023-12-07 15:49:35.613,20.5,39.3,225
2023-12-07 15:49:34.602,20.5,39.3,223
2023-12-07 15:49:33.603,20.5,39.3,223
2023-12-07 15:49:32.590,20.5,39.3,225
2023-12-07 15:49:31.591,20.5,39.3,223
2023-12-07 15:49:30.579,20.5,39.3,223
2023-12-07 15:49:29.580,20.5,39.3,225
2023-12-07 15:49:28.568,20.5,39.3,223
2023-12-07 15:49:27.568,20.5,39.3,225
2023-12-07 15:49:26.560,20.5,39.3,223
2023-12-07 15:49:25.557,20.5,39.3,222
2023-12-07 15:49:24.549,20.5,39.3,222
2023-12-07 15:49:23.545,20.5,39.3,220
2023-12-07 15:49:22.538,20.5,39.3,222
2023-12-07 15:49:21.534,20.5,39.3,220
2023-12-07 15:49:20.526,20.5,39.3,220
2023-12-07 15:49:19.523,20.5,39.3,222
2023-12-07 15:49:18.515,20.5,39.3,222
2023-12-07 15:49:17.511,20.5,39.3,220
2023-12-07 15:49:16.504,20.5,39.3,220
2023-12-07 15:49:15.500,20.5,39.3,220
2023-12-07 15:49:14.493,20.5,39.3,222
2023-12-07 15:49:13.489,20.5,39.3,220
2023-12-07 15:49:12.481,20.5,39.3,220
2023-12-07 15:49:11.478,20.5,39.3,220
2023-12-07 15:49:10.470,20.5,39.3,222
2023-12-07 15:49:09.466,20.5,39.3,220
2023-12-07 15:49:08.458,20.5,39.3,220
2023-12-07 15:49:07.455,20.5,39.3,220
2023-12-07 15:49:06.448,20.5,39.3,220
2023-12-07 15:49:05.444,20.5,39.3,220
2023-12-07 15:49:04.436,20.5,39.3,222
2023-12-07 15:49:03.437,20.5,39.3,222
2023-12-07 15:49:02.425,20.5,39.3,220
2023-12-07 15:49:01.425,20.5,39.3,220
2023-12-07 15:49:00.413,20.5,39.3,220
2023-12-07 15:48:59.414,20.5,39.3,222
2023-12-07 15:48:58.402,20.5,39.3,220
2023-12-07 15:48:57.403,20.5,39.3,220
2023-12-07 15:48:56.391,20.4,39.2,222
2023-12-07 15:48:55.391,20.4,39.2,219
2023-12-07 15:48:54.383,20.5,39.3,222
2023-12-07 15:48:53.380,20.5,39.3,223
